Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A0L0VJR8	A0A0L0VJR8_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0VJS1	A0A0L0VJS1_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0W3B1	A0A0L0W3B1_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0W3Z0	A0A0L0W3Z0_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L1JG42	A0A0L1JG42_ASPN3	Cutinase transcription factor 1 alpha	Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)	1509407
A0A0L6UEC5	A0A0L6UEC5_9BASI	Cutinase	Puccinia sorghi	27349
A0A0L6UZ87	A0A0L6UZ87_9BASI	Cutinase	Puccinia sorghi	27349
A0A0L6UZU4	A0A0L6UZU4_9BASI	Cutinase	Puccinia sorghi	27349
A0A0L6VNT7	A0A0L6VNT7_9BASI	Cutinase	Puccinia sorghi	27349
A0A0L8BYC5	A0A0L8BYC5_ENSAD	PET hydrolase/cutinase-like domain-containing protein	Ensifer adhaerens (Sinorhizobium morelense)	106592
A0A0L8LWF2	A0A0L8LWF2_9ACTN	Cutinase	Streptomyces resistomycificus	67356
A0A0M0K4Z9	A0A0M0K4Z9_9EUKA	PET hydrolase/cutinase-like domain-containing protein	Chrysochromulina tobinii	1460289
A0A0M1P5R7	A0A0M1P5R7_9BACL	PET hydrolase/cutinase-like domain-containing protein	Paenibacillus solani	1705565
A0A0M2GD43	A0A0M2GD43_9ACTN	Cutinase	Streptomyces variegatus	284040
A0A0M2GWP5	A0A0M2GWP5_9MICO	Cutinase	Microbacterium terrae	69369
A0A0M2JX37	A0A0M2JX37_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0M2JYK2	A0A0M2JYK2_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0M2K055	A0A0M2K055_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0M2K526	A0A0M2K526_9MYCO	Cutinase	Mycolicibacterium obuense	1807
A0A0M2ZED6	A0A0M2ZED6_9MYCO	Cutinase	Mycolicibacterium elephantis	81858
A0A0M2ZPZ3	A0A0M2ZPZ3_9MYCO	Cutinase	Mycolicibacterium elephantis	81858
A0A0M3TBT0	A0A0M3TBT0_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Lawsonella clevelandensis	1528099
A0A0M4CR32	A0A0M4CR32_9CORY	Cutinase	Corynebacterium deserti GIMN1.010	931089
A0A0M4RC18	A0A0M4RC18_9MICC	Cutinase	Arthrobacter alpinus	656366
A0A0M5IIA4	A0A0M5IIA4_9CORY	PET hydrolase/cutinase-like domain-containing protein	Corynebacterium deserti GIMN1.010	931089
A0A0M5L7V6	A0A0M5L7V6_9ACTN	Cutinase	Lawsonella clevelandensis	1528099
A0A0M8MWT3	A0A0M8MWT3_ESCWE	Cutinase palindrome-binding protein	Escovopsis weberi	150374
A0A0M8N121	A0A0M8N121_ESCWE	Cutinase transcription factor 1 beta	Escovopsis weberi	150374
A0A0M8P5N1	A0A0M8P5N1_9EURO	Cutinase	Penicillium nordicum	229535
A0A0M8PDN7	A0A0M8PDN7_RHORH	PET hydrolase/cutinase-like domain-containing protein	Rhodococcus rhodochrous KG-21	1441923
A0A0M8PIT0	A0A0M8PIT0_RHORH	Cutinase	Rhodococcus rhodochrous KG-21	1441923
A0A0M8PMR9	A0A0M8PMR9_RHORH	Cutinase	Rhodococcus rhodochrous KG-21	1441923
A0A0M8PN38	A0A0M8PN38_RHORH	Cutinase	Rhodococcus rhodochrous KG-21	1441923
A0A0M8PRF0	A0A0M8PRF0_RHORH	Cutinase	Rhodococcus rhodochrous KG-21	1441923
A0A0M9ENN1	A0A0M9ENN1_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0M9ENP0	A0A0M9ENP0_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0M9EQ79	A0A0M9EQ79_FUSLA	Cutinase transcription factor 1 alpha	Fusarium langsethiae	179993
A0A0M9ES82	A0A0M9ES82_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0M9EYT6	A0A0M9EYT6_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0M9F1M0	A0A0M9F1M0_FUSLA	Cutinase transcription factor 1 alpha	Fusarium langsethiae	179993
A0A0M9F1P4	A0A0M9F1P4_FUSLA	Cutinase protein	Fusarium langsethiae	179993
A0A0M9F3J9	A0A0M9F3J9_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
