Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A3S1BV26	A0A3S1BV26_ANAVA	Alkylated DNA repair dioxygenase	Trichormus variabilis SAG 1403-4b	447716
A0A3S2W093	A0A3S2W093_9ACTN	Alkane 1-monooxygenase	Streptomyces antnestii	2494256
A0A3S3UYN1	A0A3S3UYN1_9RHOB	Alkane 1-monooxygenase	Falsigemmobacter intermedius	1553448
A0A3S3YGR3	A0A3S3YGR3_9RHOB	Alkane 1-monooxygenase	Falsigemmobacter intermedius	1553448
A0A3S3ZYY4	A0A3S3ZYY4_9NOCA	Alkane 1-monooxygenase	Prescottella agglutinans	1644129
A0A3S4CD59	A0A3S4CD59_9MYCO	Alkane 1-monooxygenase (EC 1.14.15.3)	Mycobacterium basiliense	2094119
A0A3S4CHQ6	A0A3S4CHQ6_9RHOB	Alkane 1-monooxygenase 2 (EC 1.14.15.3)	Paracoccus haematequi	2491866
A0A3S4FG44	A0A3S4FG44_SALET	AlkB protein (EC 1.14.11.-)	Salmonella enterica subsp. enterica serovar Sanjuan	1160765
A0A3S4MQX6	A0A3S4MQX6_PSEFL	Alkane-1-monooxygenase 2 (EC 1.14.15.3)	Pseudomonas fluorescens	294
A0A3S4N6U3	A0A3S4N6U3_PSEFL	Alkane-1-monooxygenase (EC 1.14.15.3)	Pseudomonas fluorescens	294
A0A3S4VJQ3	A0A3S4VJQ3_MYCCI	Alkane 1-monooxygenase (EC 1.14.15.3)	Mycolicibacterium chitae (Mycobacterium chitae)	1792
A0A3S5DCU1	A0A3S5DCU1_SALET	AlkB protein (EC 1.14.11.-)	Salmonella enterica I	59201
A0A3S5Y9Y0	A0A3S5Y9Y0_RHOH1	Alkane-1-monooxygenase AlkB	Rhodococcus hoagii (strain 103S) (Rhodococcus equi)	685727
A0A3S8IFW6	A0A3S8IFW6_9NOCA	Alkane 1-monooxygenase	Rhodococcus pyridinivorans	103816
A0A3S8R4S0	A0A3S8R4S0_9FLAO	Alkane 1-monooxygenase	Tenacibaculum singaporense	2358479
A0A3S8U728	A0A3S8U728_9RHOB	Alkane 1-monooxygenase	Tabrizicola piscis	2494374
A0A3S8UBZ6	A0A3S8UBZ6_9RHOB	Alkane 1-monooxygenase	Tabrizicola piscis	2494374
A0A3S9B307	A0A3S9B307_9HYPH	Alkane 1-monooxygenase	Georhizobium profundi	2341112
A0A3S9HIM7	A0A3S9HIM7_9BURK	Alkane 1-monooxygenase	Undibacterium parvum	401471
A0A3S9MVG8	A0A3S9MVG8_9FLAO	Alkane 1-monooxygenase	Nonlabens ponticola	2496866
A0A3T0DVT2	A0A3T0DVT2_BREAU	Alkane 1-monooxygenase	Brevibacterium aurantiacum	273384
A0A3T0E9S9	A0A3T0E9S9_9PROT	Alkane 1-monooxygenase	Glycocaulis alkaliphilus	1434191
A0A3T0KMB7	A0A3T0KMB7_9BACI	Alkane 1-monooxygenase	Peribacillus asahii	228899
A0A3T0N762	A0A3T0N762_9RHOB	Alkane 1-monooxygenase	Parasedimentitalea marina	2483033
A0A3T1D4I6	A0A3T1D4I6_9BACL	Alkane 1-monooxygenase	Cohnella abietis	2507935
A0A401QUL3	A0A401QUL3_STRNR	Alkylated DNA repair protein	Streptomyces noursei (Streptomyces albulus)	1971
A0A401UDU3	A0A401UDU3_9BACT	Alkane 1-monooxygenase	Chryseotalea sanaruensis	2482724
A0A401WEC9	A0A401WEC9_STREY	Alkylated DNA repair protein	Streptomyces paromomycinus (Streptomyces rimosus subsp. paromomycinus)	92743
A0A401WVM9	A0A401WVM9_ACEPA	DNA repair protein for alkylated DNA	Acetobacter pasteurianus NBRC 3188	1226663
A0A401X542	A0A401X542_ACEPA	DNA repair protein for alkylated DNA	Acetobacter pasteurianus NBRC 3278	1226660
A0A401XJJ5	A0A401XJJ5_9FLAO	Alkane 1-monooxygenase	Thermaurantimonas aggregans	2173829
A0A402ASR1	A0A402ASR1_9CHLR	DNA methylase	Dictyobacter kobayashii	2014872
A0A402CE29	A0A402CE29_RHOWR	Alkane-1 monooxygenase	Rhodococcus wratislaviensis (Tsukamurella wratislaviensis)	44752
A0A410RVY0	A0A410RVY0_CORCK	Fatty acid desaturase	Corallococcus coralloides (Myxococcus coralloides)	184914
A0A410VCZ8	A0A410VCZ8_9BRAD	Alkane 1-monooxygenase	Bradyrhizobium guangdongense	1325090
A0A411ED18	A0A411ED18_9FLAO	Alkane 1-monooxygenase	Muriicola soli	2507538
A0A411HGW3	A0A411HGW3_9GAMM	Alkane 1-monooxygenase	Pseudolysobacter antarcticus	2511995
A0A411PES5	A0A411PES5_9GAMM	Alkane 1-monooxygenase	Shewanella maritima	2520507
A0A411YXC7	A0A411YXC7_9RHOB	Alkane 1-monooxygenase	Pseudotabrizicola alkalilacus	2305252
A0A411YY41	A0A411YY41_9RHOB	Alkane 1-monooxygenase	Pseudotabrizicola alkalilacus	2305252
A0A417XTS9	A0A417XTS9_9ACTN	Alkane 1-monooxygenase	Nocardioides immobilis	2049295
A0A417XZZ6	A0A417XZZ6_9ACTN	Alkane 1-monooxygenase	Nocardioides immobilis	2049295
A0A418M7R8	A0A418M7R8_9BACT	Alkane 1-monooxygenase	Fibrisoma montanum	2305895
A0A418PLG9	A0A418PLG9_9BACT	Alkane 1-monooxygenase	Algoriphagus lacus	2056311
A0A418Q5B4	A0A418Q5B4_9CORY	Alkane 1-monooxygenase	Corynebacterium falsenii	108486
A0A418QM08	A0A418QM08_9BACT	Alkane 1-monooxygenase	Hymenobacter rubripertinctus	2029981
A0A418SEZ7	A0A418SEZ7_9RHOB	Alkane 1-monooxygenase 2 (EC 1.14.15.3)	Pseudooceanicola algae	1537215
A0A418SGD8	A0A418SGD8_9RHOB	Alkane 1-monooxygenase 2 (EC 1.14.15.3)	Pseudooceanicola algae	1537215
A0A418SR84	A0A418SR84_9RHOB	Alkane 1-monooxygenase	Paracoccus onubensis	1675788
A0A418WH95	A0A418WH95_9PROT	Alkane 1-monooxygenase	Oleomonas cavernae	2320859
A0A418WJB2	A0A418WJB2_9PROT	Alkane 1-monooxygenase	Oleomonas cavernae	2320859
A0A418XB79	A0A418XB79_9PSED	Alkane 1-monooxygenase	Pseudomonas cavernicola	2320866
A0A418XZC3	A0A418XZC3_9GAMM	Alkane 1-monooxygenase	Alcanivorax profundi	2338368
A0A418Y1H8	A0A418Y1H8_9GAMM	Alkane 1-monooxygenase	Alcanivorax profundi	2338368
A0A418YP29	A0A418YP29_9SPHN	Alkane 1-monooxygenase	Sphingobium terrigena	2304063
A0A418YP93	A0A418YP93_9SPHN	Alkane 1-monooxygenase	Sphingobium terrigena	2304063
A0A418ZP54	A0A418ZP54_9RHOB	Alkane 1-monooxygenase	Paracoccus aestuarii	453842
A0A418ZPS0	A0A418ZPS0_9RHOB	Alkane 1-monooxygenase	Paracoccus aestuarii	453842
A0A419A7N0	A0A419A7N0_9RHOB	Alkane 1-monooxygenase	Paracoccus siganidrum	1276757
A0A419I1R2	A0A419I1R2_9PSEU	Alkane 1-monooxygenase	Amycolatopsis panacis	2340917
A0A420DSN5	A0A420DSN5_9RHOB	Alkane 1-monooxygenase	Sulfitobacter guttiformis	74349
A0A420DX89	A0A420DX89_9FLAO	Alkane 1-monooxygenase	Ichthyenterobacterium magnum	1230530
A0A420E3T3	A0A420E3T3_9FLAO	Alkane 1-monooxygenase	Tenacibaculum lutimaris	285258
A0A420FJM9	A0A420FJM9_9SPHI	Alkane 1-monooxygenase	Sphingobacterium siyangense	459529
A0A420GLW3	A0A420GLW3_9BURK	Alkane 1-monooxygenase	Paraburkholderia fungorum	134537
A0A420WL97	A0A420WL97_9PROT	Alkane 1-monooxygenase	Litorimonas taeanensis	568099
A0A421BN23	A0A421BN23_9RHOB	Alkane 1-monooxygenase	Paenirhodobacter hankyongi	2294033
A0A421BW56	A0A421BW56_9RHOB	Alkane 1-monooxygenase	Paenirhodobacter hankyongi	2294033
A0A422WF81	A0A422WF81_KLEPN	Alkane 1-monooxygenase (MsnO8 family LLM class oxidoreductase (EC 1.-.-.-))	Klebsiella pneumoniae subsp. pneumoniae	72407
A0A423ESD7	A0A423ESD7_9PSED	Alkane 1-monooxygenase	Pseudomonas poae	200451
A0A423F4B0	A0A423F4B0_9PSED	Alkane 1-monooxygenase	Pseudomonas canadensis	915099
A0A423I1Y2	A0A423I1Y2_9PSED	Alkane 1-monooxygenase	Pseudomonas frederiksbergensis	104087
A0A423Q3C6	A0A423Q3C6_9GAMM	Alkane 1-monooxygenase	Salinisphaera orenii YIM 95161	1051139
A0A426SQN2	A0A426SQN2_9MICO	Alkane 1-monooxygenase	Brachybacterium paraconglomeratum	173362
A0A426UZB1	A0A426UZB1_9BURK	Alkane 1-monooxygenase	Aquabacterium soli	2493092
A0A426UZB2	A0A426UZB2_9BURK	Alkane 1-monooxygenase	Aquabacterium soli	2493092
A0A426UZC5	A0A426UZC5_9BURK	Alkane 1-monooxygenase	Aquabacterium soli	2493092
A0A426VHB8	A0A426VHB8_9BURK	Alkane 1-monooxygenase	Aquabacterium soli	2493092
A0A429LGC5	A0A429LGC5_ACIBA	Alkane 1-monooxygenase	Acinetobacter baumannii	470
A0A432BIF6	A0A432BIF6_PSEVE	Alkane 1-monooxygenase	Pseudomonas veronii	76761
A0A437K1W0	A0A437K1W0_9BURK	Alkane 1-monooxygenase	Rubrivivax albus	2499835
A0A437LL03	A0A437LL03_9BURK	Alkane 1-monooxygenase	Inhella crocodyli	2499851
A0A437PPS4	A0A437PPS4_9BACT	Alkane 1-monooxygenase	Sandaracinomonas limnophila	1862386
A0A438AH86	A0A438AH86_9RHOB	Alkane 1-monooxygenase	Mesobaculum littorinae	2486419
